Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover	,Pressure (millibars),day,month,year,hour,minute,second,Precip Type_snow
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,48,0 
31.37 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.61,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.61,25,8,2023,12,3,48,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.66,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.66,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,49,0 
31.37 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.37 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.37 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.37 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.60,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.60,25,8,2023,12,3,49,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.64,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.65,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.65,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.65,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.65,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,50,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.63,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.60,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.60,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,51,0 
31.35 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.59,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.62,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.61,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.61,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.59,25,8,2023,12,3,51,0 
31.36 ,29.00 ,0.13 ,0.00 ,0 ,16.00 ,0.03 ,940.59,25,8,2023,12,3,51,0 
